Nom,Année de naissance ,Année de premiere election,Groupe,Circonscription,Série,genre
Jean-Marie Vanlerenberghe,1939,2001,UDI-UC,Pas-de-Calais,1,M
Michel Vaspart,1948,2014,UMP,Côtes-d'Armor,2,M
Alain Vasselle,1950,1992,UMP,Oise,1,M
Yannick Vaugrenard,1950,2011,SOC,Loire-Atlantique,1,M
Hilarion Vendégou,1941,2011,UMP,Nouvelle-Calédonie,1,M
Paul Vergès,1925,1996,CRC,La Réunion,1,M
Michel Vergoz,1950,2011,SOC,La Réunion,1,M
Jean-Pierre Vial,1951,1995,UMP,Savoie,2,M
Maurice Vincent,1955,2011,SOC,Loire,1,M
Jean-Pierre Vogel,1956,2014,UMP,Sarthe,2,M
Dominique Watrin,1953,2011,CRC,Pas-de-Calais,1,M
Évelyne Yonnet,1954,2011,SOC,Seine-Saint-Denis,1,F
Richard Yung,1947,2004,SOC,Français établis hors de France,2,M
François Zocchetto,1958,2001,UDI-UC,Mayenne,1,M
